Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.004,3,2750,0.004000,1.12,1.68
South Africa,3|1.174,3,"2579,3160,3330,3393,3370,3168",1.174000,328.72,410.90
South Africa,3|0.008,3,3237,0.008000,2.24,3.36
South Africa,3|0.268,3,3335,0.268000,75.04,105.06
South Africa,3|0.006,3,"2649,3155",0.006000,1.68,2.52
South Africa,3|0.939,3,2984,0.939000,262.92,328.65
South Africa,3|0.058,3,3205,0.058000,16.24,24.36
South Africa,3|0.074,3,2742,0.074000,20.72,31.08
India,3|0.067,3,"2805,3193,3160,2579,3330,3406,3370,3371,3309,3393",0.067000,18.76,28.14
India,3|0.027,3,2750,0.027000,7.56,11.34
India,3|0.045,3,3335,0.045000,12.60,18.90
Pakistan,3|0.152,3,"3193,3160,3370,3371,3393",0.152000,42.56,63.84
Bangladesh,3|0.127,3,"3160,3370,3168,3371,3393",0.127000,35.56,53.34
Zambia,3|0.152,3,"2750,3160,3193,3370,3371,3309,3393,3418",0.152000,42.56,63.84
Namibia,3|0.252,3,3370,0.252000,70.56,98.78
Algeria,3|0.191,3,"2750,3193,3160,3330,3370,3371,3309,3393,3168",0.191000,53.48,74.87
Ethiopia,3|0.152,3,"2750,3193,3370,3371,3309,3393",0.152000,42.56,63.84
Ethiopia,3|0.115,3,3168,0.115000,32.20,48.30
Mozambique,3|0.127,3,3370,0.127000,35.56,53.34
Angola,3|0.122,3,"2750,3193,3160,3370,3371,3309,3393",0.122000,34.16,51.24
Ukraine,3|0.099,3,2263,0.099000,27.72,41.58
Ukraine,3|0.135,3,"2750,3193,3330",0.135000,37.80,56.70
Ukraine,3|0.126,3,2738,0.126000,35.28,52.92
Egypt,3|0.191,3,"2750,3193,3330,3160,3340,3393,3370",0.191000,53.48,74.87
Egypt,3|0.172,3,3168,0.172000,48.16,72.24
Brazil,3|0.5,3,"2750,2579,3160,3193,3365,3406,3398",0.500000,140.00,175.00
Brazil,3|0.202,3,2263,0.202000,56.56,79.18
Brazil,3|0.369,3,2739,0.369000,103.32,129.15
Brazil,3|0.384,3,2738,0.384000,107.52,134.40
Brazil,3|0.075,3,3215,0.075000,21.00,31.50
Brazil,3|0.192,3,3367,0.192000,53.76,75.26
Brazil,3|0.375,3,"2404,3413,3229,3246,2906,3412",0.375000,105.00,131.25
Brazil,3|0.063,3,3252,0.063000,17.64,26.46
Brazil,3|0.144,3,3415,0.144000,40.32,60.48
Brazil,3|0.392,3,3264,0.392000,109.76,137.20
Brazil,3|0.004,3,"3104,3274,3287",0.004000,1.12,1.68
Haiti,3|0.384,3,"2750,3193,2579,3330",0.384000,107.52,134.40
Iran,3|0.288,3,"2579,3330,3370,3371,3393,3309,3168",0.288000,80.64,112.90
Peru ,3|0.152,3,"2750,3193,3160,3370",0.152000,42.56,63.84
Peru ,3|0.115,3,3168,0.115000,32.20,48.30
Zimbabwe,3|0.252,3,"3160,2579,3370",0.252000,70.56,98.78
Nepal,3|0.152,3,"3193,3370",0.152000,42.56,63.84
Uzbekistan,3|0.191,3,"3160,3193,3330,3370,3309,3393",0.191000,53.48,74.87
Uzbekistan,3|0.143,3,3168,0.143000,40.04,60.06
Nigeria,3|0.22,3,"2750,2579,3193,3160,3330,3370,3309,3393",0.220000,61.60,86.24
Nigeria,3|0.139,3,3237,0.139000,38.92,58.38
Nigeria,3|0.166,3,3168,0.166000,46.48,69.72
Nigeria,3|0.207,3,3335,0.207000,57.96,81.14
Swaziland,3|0.252,3,"3370,3309,3393",0.252000,70.56,98.78
Congo (Dem. Republic),3|0.252,3,"2750,3160,3330,3370",0.252000,70.56,98.78
France,3|0.196,3,"2263,2738",0.196000,54.88,76.83
France,3|0.346,3,"2750,2579,3193,2442,3160,3309",0.346000,96.88,135.63
France,3|0.252,3,2739,0.252000,70.56,98.78
France,3|0.259,3,"3389,3403,3270",0.259000,72.52,101.53
France,3|0.177,3,3329,0.177000,49.56,74.34
France,3|0.268,3,3394,0.268000,75.04,105.06
Botswana,3|0.252,3,"3160,3370",0.252000,70.56,98.78
Mexico,3|0.163,3,"2750,3193,3330,3370,3160",0.163000,45.64,68.46
Mexico,3|0.147,3,3414,0.147000,41.16,61.74
Tanzania,3|0.384,3,"2750,2579,3193,3160,3330",0.384000,107.52,134.40
Tanzania,3|0.16,3,3168,0.160000,44.80,67.20
Sri Lanka,3|0.127,3,"3193,3370",0.127000,35.56,53.34
Sri Lanka,3|0.095,3,3168,0.095000,26.60,39.90
Honduras,3|0.252,3,"2750,3193,3160,3370",0.252000,70.56,98.78
Argentinas,3|0.122,3,"2750,2579,3160,3193,3393",0.122000,34.16,51.24
Argentinas,3|0.119,3,2738,0.119000,33.32,49.98
Argentinas,3|0.09,3,2263,0.090000,25.20,37.80
Argentinas,3|0.008,3,"3237,3056,2556",0.008000,2.24,3.36
Argentinas,3|0.06,3,2739,0.060000,16.80,25.20
Myanmar,3|0.09,3,"3160,3193,3330,3370,3371,3393,3309",0.090000,25.20,37.80
Tunisia,3|0.252,3,"2750,3160,3370",0.252000,70.56,98.78
Tunisia,3|0.19,3,3168,0.190000,53.20,74.48
Timor-Leste,3|0.252,3,"3160,3370",0.252000,70.56,98.78
Lesotho,3|0.252,3,3370,0.252000,70.56,98.78
Ecuador,3|0.252,3,"2750,3193,3160,2579,3370,3371,3393,3309",0.252000,70.56,98.78
Ecuador,3|0.19,3,3168,0.190000,53.20,74.48
El Salvador,3|0.252,3,"2750,3370",0.252000,70.56,98.78
Morocco,3|0.33,3,"2750,2579,3193,3330,3370",0.330000,92.40,129.36
Morocco,3|0.167,3,2738,0.167000,46.76,70.14
Morocco,3|0.084,3,3160,0.084000,23.52,35.28
Morocco,3|0.126,3,"2263,3309",0.126000,35.28,52.92
Morocco,3|0.008,3,3237,0.008000,2.24,3.36
Morocco,3|0.311,3,"3340,3393,3335",0.311000,87.08,121.91
Morocco,3|0.248,3,3168,0.248000,69.44,97.22
Uganda,3|0.191,3,"2750,3193,3370,3371,3309,3393",0.191000,53.48,74.87
Malawi,3|0.127,3,"2750,3193,3370,3371,3309,3393",0.127000,35.56,53.34
Ghana,3|0.09,3,"2750,3193,3160,3330,3370,3309,3393",0.090000,25.20,37.80
Kenya,3|0.158,3,"2750,2579,3193,3160,3330,3370,3309,3393",0.158000,44.24,66.36
Kenya,3|0.096,3,2738,0.096000,26.88,40.32
Kenya,3|0.072,3,2263,0.072000,20.16,30.24
Kenya,3|0.046,3,3237,0.046000,12.88,19.32
Kenya,3|0.131,3,3340,0.131000,36.68,55.02
Kenya,3|0.148,3,3335,0.148000,41.44,62.16
Panama,3|0.252,3,"2750,3193,3370",0.252000,70.56,98.78
Jamaica,3|0.252,3,3370,0.252000,70.56,98.78
Venezuela,3|0.198,3,"2750,3193,3160,3370,3371,3393,3309",0.198000,55.44,77.62
Kazakhstan,3|0.11,3,"2750,2738,3193,2579,2263,3330,3309",0.110000,30.80,46.20
Kazakhstan,3|0.083,3,3168,0.083000,23.24,34.86
Colombia,3|0.306,3,"2750,2286,2579,3160,3193,3330,3406,3370",0.306000,85.68,119.95
Colombia,3|0.23,3,"3340,2236",0.230000,64.40,90.16
Colombia,3|0.288,3,3335,0.288000,80.64,112.90
Colombia,3|0.188,3,3288,0.188000,52.64,73.70
Paraguay,3|0.252,3,"2750,3193,3160,2579,3370,3371,3393,3309,3418,3328",0.252000,70.56,98.78
Turkey,3|0.228,3,"2750,3193,3406,3370,3160,3393,3371,3309,3329",0.228000,63.84,89.38
Kyrgyzstan,3|0.384,3,"2750,2579,3193,3330",0.384000,107.52,134.40
Jordan,3|0.948,3,"3193,3370",0.948000,265.44,331.80
Cameroon,3|0.439,3,"2750,2579,3160,3193,3330,3370",0.439000,122.92,153.65
Cameroon,3|0.263,3,3237,0.263000,73.64,103.10
Cameroon,3|0.412,3,3335,0.412000,115.36,144.20
Cameroon,3|0.33,3,2709,0.330000,92.40,129.36
Israel,3|1.25,3,"2579,3193,2738,3330,3370",1.250000,350.00,437.50
Israel,3|0.21,3,3237,0.210000,58.80,82.32
Israel,3|1.185,3,2263,1.185000,331.80,414.75
Israel,3|0.295,3,"3335,3314",0.295000,82.60,115.64
Cote d`Ivoire Ivory Coast,3|0.155,3,"2750,3330,3370,32",0.155000,43.40,65.10
Cote d`Ivoire Ivory Coast,3|0.13,3,3237,0.130000,36.40,54.60
